DIAGNOSISCODE,DIAGNOSISCODEDESCRIPTION,UNSTRIPPEDDIAGNOSISCODE,PARENTDIAGNOSISCODE
F329,"Major depressive disorder, single episode, unspecified",F32.9,F32
J4520,"Mild intermittent asthma, uncomplicated",J45.20,J452
R635,Abnormal weight gain,R63.5,R63
J441,Chronic obstructive pulmonary disease w (acute) exacerbation,J44.1,J44
R4701,Aphasia,R47.01,R470
J8403,Idiopathic pulmonary hemosiderosis,J84.03,J840
W19XXXS,"Unspecified fall, sequela",W19.XXXS,W19
M25521,Pain in right elbow,M25.521,M2552
Z9181,History of falling,Z91.81,Z918
R351,Nocturia,R35.1,R35
I82509,Chronic embolism and thombos unsp deep vn unsp low extrm,I82.509,I8250
M87052,Idiopathic aseptic necrosis of left femur,M87.052,M8705
I69051,Hemiplga fol ntrm subarach hemor aff right dominant side,I69.051,I6905
K117,Disturbances of salivary secretion,K11.7,K11
R7309,Other abnormal glucose,R73.09,R730
C50012,"Malignant neoplasm of nipple and areola, left female breast",C50.012,C5001
R509,"Fever, unspecified",R50.9,R50
F5221,Male erectile disorder,F52.21,F522
J209,"Acute bronchitis, unspecified",J20.9,J20
J111,Flu due to unidentified influenza virus w oth resp manifest,J11.1,J11
G3289,Oth degeneratv disord of nervous sys in dis classd elswhr,G32.89,G328
H6691,"Otitis media, unspecified, right ear",H66.91,H669
K5190,"Ulcerative colitis, unspecified, without complications",K51.90,K519
F319,"Bipolar disorder, unspecified",F31.9,F31
K915,Postcholecystectomy syndrome,K91.5,K91
S81802A,"Unspecified open wound, left lower leg, initial encounter",S81.802A,S81802
J8403,Idiopathic pulmonary hemosiderosis,J84.03,J840
S63502D,"Unspecified sprain of left wrist, subsequent encounter",S63.502D,S63502
M5441,"Lumbago with sciatica, right side",M54.41,M544
L550,Sunburn of first degree,L55.0,L55
J42,Unspecified chronic bronchitis,J42,
M5117,"Intvrt disc disorders w radiculopathy, lumbosacral region",M51.17,M511
E1169,Type 2 diabetes mellitus with other specified complication,E11.69,E116
J22,Unspecified acute lower respiratory infection,J22,
M5440,"Lumbago with sciatica, unspecified side",M54.40,M544
K0889,Other specified disorders of teeth and supporting structures,K08.89,K088
S81001D,"Unspecified open wound, right knee, subsequent encounter",S81.001D,S81001
L89312,"Pressure ulcer of right buttock, stage 2",L89.312,L8931
K581,Irritable bowel syndrome with constipation,K58.1,K58
E550,"Rickets, active",E55.0,E55
S22009S,"Unsp fracture of unspecified thoracic vertebra, sequela",S22.009S,S22009
C3492,Malignant neoplasm of unsp part of left bronchus or lung,C34.92,C349
Z4800,Encounter for change or removal of nonsurg wound dressing,Z48.00,Z480
R339,"Retention of urine, unspecified",R33.9,R33
C50919,Malignant neoplasm of unsp site of unspecified female breast,C50.919,C5091
N08,Glomerular disorders in diseases classified elsewhere,N08,
Z716,Tobacco abuse counseling,Z71.6,Z71
Z79899,Other long term (current) drug therapy,Z79.899,Z7989
G43909,"Migraine, unsp, not intractable, without status migrainosus",G43.909,G4390
S42001A,"Fracture of unsp part of right clavicle, init for clos fx",S42.001A,S42001
E875,Hyperkalemia,E87.5,E87
S72091D,"Oth fx head/neck of r femur, subs for clos fx w routn heal",S72.091D,S72091
R350,Frequency of micturition,R35.0,R35
T1490XD,"Injury, unspecified, subsequent encounter",T14.90XD,T1490
R1110,"Vomiting, unspecified",R11.10,R111
F3341,"Major depressive disorder, recurrent, in partial remission",F33.41,F334
M79673,Pain in unspecified foot,M79.673,M7967
H4089,Other specified glaucoma,H40.89,H408
I9589,Other hypotension,I95.89,I958
Z933,Colostomy status,Z93.3,Z93
S2241XA,"Multiple fractures of ribs, right side, init for clos fx",S22.41XA,S2241
F323,"Major depressv disord, single epsd, severe w psych features",F32.3,F32
H5711,"Ocular pain, right eye",H57.11,H571
F1020,"Alcohol dependence, uncomplicated",F10.20,F102
L409,"Psoriasis, unspecified",L40.9,L40
R251,"Tremor, unspecified",R25.1,R25
S99922A,"Unspecified injury of left foot, initial encounter",S99.922A,S99922
Z48812,Encntr for surgical aftcr following surgery on the circ sys,Z48.812,Z4881
Z992,Dependence on renal dialysis,Z99.2,Z99
L219,"Seborrheic dermatitis, unspecified",L21.9,L21
I7090,Unspecified atherosclerosis,I70.90,I709
L710,Perioral dermatitis,L71.0,L71
L659,"Nonscarring hair loss, unspecified",L65.9,L65
N3281,Overactive bladder,N32.81,N328
J9601,Acute respiratory failure with hypoxia,J96.01,J960
E669,"Obesity, unspecified",E66.9,E66
S32000A,"Wedge compression fracture of unsp lumbar vertebra, init",S32.000A,S32000
S8290XD,"Unsp fx unsp lower leg, subs for clos fx w routn heal",S82.90XD,S8290
H10022,"Other mucopurulent conjunctivitis, left eye",H10.022,H1002
Z0001,Encounter for general adult medical exam w abnormal findings,Z00.01,Z000
Z950,Presence of cardiac pacemaker,Z95.0,Z95
R531,Weakness,R53.1,R53
S83421D,"Sprain of lateral collateral ligament of right knee, subs",S83.421D,S83421
T22251D,"Burn of second degree of right shoulder, subs encntr",T22.251D,T22251
G2571,Drug induced akathisia,G25.71,G257
N200,Calculus of kidney,N20.0,N20
R0789,Other chest pain,R07.89,R078
R350,Frequency of micturition,R35.0,R35
I5033,Acute on chronic diastolic (congestive) heart failure,I50.33,I503
M2012,"Hallux valgus (acquired), left foot",M20.12,M201
R7989,Other specified abnormal findings of blood chemistry,R79.89,R798
G903,Multi-system degeneration of the autonomic nervous system,G90.3,G90
C649,"Malignant neoplasm of unsp kidney, except renal pelvis",C64.9,C64
Z23,Encounter for immunization,Z23,
R319,"Hematuria, unspecified",R31.9,R31
S91101D,"Unsp open wound of right great toe w/o damage to nail, subs",S91.101D,S91101
K5900,"Constipation, unspecified",K59.00,K590
L03031,Cellulitis of right toe,L03.031,L0303
T148XXS,"Other injury of unspecified body region, sequela",T14.8XXS,T148
Z23,Encounter for immunization,Z23,
L551,Sunburn of second degree,L55.1,L55
S72002A,"Fracture of unsp part of neck of left femur, init",S72.002A,S72002
M5382,"Other specified dorsopathies, cervical region",M53.82,M538
Z960,Presence of urogenital implants,Z96.0,Z96
R3915,Urgency of urination,R39.15,R391
S51802A,"Unspecified open wound of left forearm, initial encounter",S51.802A,S51802
S91102D,"Unsp open wound of left great toe w/o damage to nail, subs",S91.102D,S91102
Z716,Tobacco abuse counseling,Z71.6,Z71
H6121,"Impacted cerumen, right ear",H61.21,H612
R54,Age-related physical debility,R54,
R195,Other fecal abnormalities,R19.5,R19
E612,Magnesium deficiency,E61.2,E61
Z1331,Encounter for screening for depression,Z13.31,Z133
J449,"Chronic obstructive pulmonary disease, unspecified",J44.9,J44
G43911,"Migraine, unspecified, intractable, with status migrainosus",G43.911,G4391
G629,"Polyneuropathy, unspecified",G62.9,G62
A0472,"Enterocolitis d/t Clostridium difficile, not spcf as recur",A04.72,A047
K623,Rectal prolapse,K62.3,K62
K5649,Other impaction of intestine,K56.49,K564
S0990XA,"Unspecified injury of head, initial encounter",S09.90XA,S0990
M26622,Arthralgia of left temporomandibular joint,M26.622,M2662
S99922D,"Unspecified injury of left foot, subsequent encounter",S99.922D,S99922
K1379,Other lesions of oral mucosa,K13.79,K137
J449,"Chronic obstructive pulmonary disease, unspecified",J44.9,J44
I2782,Chronic pulmonary embolism,I27.82,I278
J42,Unspecified chronic bronchitis,J42,
E612,Magnesium deficiency,E61.2,E61
F064,Anxiety disorder due to known physiological condition,F06.4,F06
L570,Actinic keratosis,L57.0,L57
S069X9S,"Unsp intracranial injury w LOC of unsp duration, sequela",S06.9X9S,S069X9
Z85828,Personal history of other malignant neoplasm of skin,Z85.828,Z8582
N08,Glomerular disorders in diseases classified elsewhere,N08,
G14,Postpolio syndrome,G14,
M47812,"Spondylosis w/o myelopathy or radiculopathy, cervical region",M47.812,M4781
N939,"Abnormal uterine and vaginal bleeding, unspecified",N93.9,N93
R9720,Elevated prostate specific antigen [PSA],R97.20,R972
B356,Tinea cruris,B35.6,B35
R400,Somnolence,R40.0,R40
M25551,Pain in right hip,M25.551,M2555
J42,Unspecified chronic bronchitis,J42,
F79,Unspecified intellectual disabilities,F79,
L89329,"Pressure ulcer of left buttock, unspecified stage",L89.329,L8932
J159,Unspecified bacterial pneumonia,J15.9,J15
S299XXD,"Unspecified injury of thorax, subsequent encounter",S29.9XXD,S299
K5904,Chronic idiopathic constipation,K59.04,K590
H532,Diplopia,H53.2,H53
S31000A,"Unsp opn wnd low back and pelv w/o penet retroperiton, init",S31.000A,S31000
R682,"Dry mouth, unspecified",R68.2,R68
R399,Unsp symptoms and signs involving the genitourinary system,R39.9,R39
Z9189,"Oth personal risk factors, not elsewhere classified",Z91.89,Z918
I2699,Other pulmonary embolism without acute cor pulmonale,I26.99,I269
K8590,"Acute pancreatitis without necrosis or infection, unsp",K85.90,K859
L89220,"Pressure ulcer of left hip, unstageable",L89.220,L8922
I951,Orthostatic hypotension,I95.1,I95
D539,"Nutritional anemia, unspecified",D53.9,D53
S91104D,"Unsp opn wnd right lesser toe(s) w/o damage to nail, subs",S91.104D,S91104
G301,Alzheimer's disease with late onset,G30.1,G30
J309,"Allergic rhinitis, unspecified",J30.9,J30
B372,Candidiasis of skin and nail,B37.2,B37
S0093XD,"Contusion of unspecified part of head, subsequent encounter",S00.93XD,S0093
H9192,"Unspecified hearing loss, left ear",H91.92,H919
H9202,"Otalgia, left ear",H92.02,H920
J14,Pneumonia due to Hemophilus influenzae,J14,
K7581,Nonalcoholic steatohepatitis (NASH),K75.81,K758
Z636,Dependent relative needing care at home,Z63.6,Z63
F4310,"Post-traumatic stress disorder, unspecified",F43.10,F431
C4492,"Squamous cell carcinoma of skin, unspecified",C44.92,C449
S90121A,"Contusion of right lesser toe(s) w/o damage to nail, init",S90.121A,S90121
N181,"Chronic kidney disease, stage 1",N18.1,N18
F0781,Postconcussional syndrome,F07.81,F078
F1910,"Other psychoactive substance abuse, uncomplicated",F19.10,F191
R001,"Bradycardia, unspecified",R00.1,R00
S81802D,"Unspecified open wound, left lower leg, subsequent encounter",S81.802D,S81802
I259,"Chronic ischemic heart disease, unspecified",I25.9,I25
K120,Recurrent oral aphthae,K12.0,K12
F5221,Male erectile disorder,F52.21,F522
Z978,Presence of other specified devices,Z97.8,Z97
Z87891,Personal history of nicotine dependence,Z87.891,Z8789
G2571,Drug induced akathisia,G25.71,G257
K7460,Unspecified cirrhosis of liver,K74.60,K746
Z9621,Cochlear implant status,Z96.21,Z962
R202,Paresthesia of skin,R20.2,R20
M064,Inflammatory polyarthropathy,M06.4,M06
M818,Other osteoporosis without current pathological fracture,M81.8,M81
R1030,"Lower abdominal pain, unspecified",R10.30,R103
L8991,"Pressure ulcer of unspecified site, stage 1",L89.91,L899
D531,"Other megaloblastic anemias, not elsewhere classified",D53.1,D53
J40,"Bronchitis, not specified as acute or chronic",J40,
L89519,"Pressure ulcer of right ankle, unspecified stage",L89.519,L8951
R7989,Other specified abnormal findings of blood chemistry,R79.89,R798
M25529,Pain in unspecified elbow,M25.529,M2552
F0150,Vascular dementia without behavioral disturbance,F01.50,F015
M5432,"Sciatica, left side",M54.32,M543
I110,Hypertensive heart disease with heart failure,I11.0,I11
S41101D,"Unspecified open wound of right upper arm, subs encntr",S41.101D,S41101
R1032,Left lower quadrant pain,R10.32,R103
J45909,"Unspecified asthma, uncomplicated",J45.909,J4590
L89150,"Pressure ulcer of sacral region, unstageable",L89.150,L8915
W19XXXA,"Unspecified fall, initial encounter",W19.XXXA,W19
S0101XA,"Laceration without foreign body of scalp, initial encounter",S01.01XA,S0101
J9600,"Acute respiratory failure, unsp w hypoxia or hypercapnia",J96.00,J960
E54,Ascorbic acid deficiency,E54,
H9190,"Unspecified hearing loss, unspecified ear",H91.90,H919
L03012,Cellulitis of left finger,L03.012,L0301
J3489,Other specified disorders of nose and nasal sinuses,J34.89,J348
E663,Overweight,E66.3,E66
J300,Vasomotor rhinitis,J30.0,J30
C9110,Chronic lymphocytic leuk of B-cell type not achieve remis,C91.10,C911
R29818,Other symptoms and signs involving the nervous system,R29.818,R2981
N401,Benign prostatic hyperplasia with lower urinary tract symp,N40.1,N40
J45909,"Unspecified asthma, uncomplicated",J45.909,J4590
Z853,Personal history of malignant neoplasm of breast,Z85.3,Z85
E1021,Type 1 diabetes mellitus with diabetic nephropathy,E10.21,E102
I421,Obstructive hypertrophic cardiomyopathy,I42.1,I42
G4709,Other insomnia,G47.09,G470
C50112,Malignant neoplasm of central portion of left female breast,C50.112,C5011
S2220XD,"Unsp fracture of sternum, subs for fx w routn heal",S22.20XD,S2220
H938X9,"Other specified disorders of ear, unspecified ear",H93.8X9,H938X
L8992,"Pressure ulcer of unspecified site, stage 2",L89.92,L899
M25562,Pain in left knee,M25.562,M2556
M1991,"Primary osteoarthritis, unspecified site",M19.91,M199
F410,Panic disorder [episodic paroxysmal anxiety],F41.0,F41
R309,"Painful micturition, unspecified",R30.9,R30
G3289,Oth degeneratv disord of nervous sys in dis classd elswhr,G32.89,G328
M150,Primary generalized (osteo)arthritis,M15.0,M15
K146,Glossodynia,K14.6,K14
H5462,"Unqualified visual loss, left eye, normal vision right eye",H54.62,H546
M170,Bilateral primary osteoarthritis of knee,M17.0,M17
S32020D,"Wedge comprsn fx second lum vert, subs for fx w routn heal",S32.020D,S32020
R0989,Oth symptoms and signs involving the circ and resp systems,R09.89,R098
D1730,"Benign lipomatous neoplasm of skin, subcu of unsp sites",D17.30,D173
F0280,Dementia in oth diseases classd elswhr w/o behavrl disturb,F02.80,F028
T7840XA,"Allergy, unspecified, initial encounter",T78.40XA,T7840
N184,"Chronic kidney disease, stage 4 (severe)",N18.4,N18
M47816,"Spondylosis w/o myelopathy or radiculopathy, lumbar region",M47.816,M4781
C5011,"Malignant neoplasm of central portion of breast, female",C50.11,C501
C189,"Malignant neoplasm of colon, unspecified",C18.9,C18
K265,Chronic or unspecified duodenal ulcer with perforation,K26.5,K26
B850,Pediculosis due to Pediculus humanus capitis,B85.0,B85
Z98890,Other specified postprocedural states,Z98.890,Z9889
L718,Other rosacea,L71.8,L71
I82509,Chronic embolism and thombos unsp deep vn unsp low extrm,I82.509,I8250
R062,Wheezing,R06.2,R06
R4189,Oth symptoms and signs w cognitive functions and awareness,R41.89,R418
R197,"Diarrhea, unspecified",R19.7,R19
R419,Unsp symptoms and signs w cognitive functions and awareness,R41.9,R41
D494,Neoplasm of unspecified behavior of bladder,D49.4,D49
M19011,"Primary osteoarthritis, right shoulder",M19.011,M1901
G238,Other specified degenerative diseases of basal ganglia,G23.8,G23
J3802,"Paralysis of vocal cords and larynx, bilateral",J38.02,J380
R338,Other retention of urine,R33.8,R33
M25572,Pain in left ankle and joints of left foot,M25.572,M2557
L304,Erythema intertrigo,L30.4,L30
N182,"Chronic kidney disease, stage 2 (mild)",N18.2,N18
N179,"Acute kidney failure, unspecified",N17.9,N17
Z0001,Encounter for general adult medical exam w abnormal findings,Z00.01,Z000
F0390,Unspecified dementia without behavioral disturbance,F03.90,F039
L821,Other seborrheic keratosis,L82.1,L82
F39,Unspecified mood [affective] disorder,F39,
M25472,"Effusion, left ankle",M25.472,M2547
E1142,Type 2 diabetes mellitus with diabetic polyneuropathy,E11.42,E114
R310,Gross hematuria,R31.0,R31
G809,"Cerebral palsy, unspecified",G80.9,G80
J14,Pneumonia due to Hemophilus influenzae,J14,
E785,"Hyperlipidemia, unspecified",E78.5,E78
L659,"Nonscarring hair loss, unspecified",L65.9,L65
A488,Other specified bacterial diseases,A48.8,A48
J029,"Acute pharyngitis, unspecified",J02.9,J02
I609,"Nontraumatic subarachnoid hemorrhage, unspecified",I60.9,I60
S6291XB,"Unsp fracture of right wrist and hand, init for opn fx",S62.91XB,S6291
F0781,Postconcussional syndrome,F07.81,F078
F418,Other specified anxiety disorders,F41.8,F41
R0602,Shortness of breath,R06.02,R060
R6889,Other general symptoms and signs,R68.89,R688
C50111,Malignant neoplasm of central portion of right female breast,C50.111,C5011
G4701,Insomnia due to medical condition,G47.01,G470
L02414,Cutaneous abscess of left upper limb,L02.414,L0241
C3490,Malignant neoplasm of unsp part of unsp bronchus or lung,C34.90,C349
G8190,"Hemiplegia, unspecified affecting unspecified side",G81.90,G819
R2241,"Localized swelling, mass and lump, right lower limb",R22.41,R224
L8992,"Pressure ulcer of unspecified site, stage 2",L89.92,L899
L89329,"Pressure ulcer of left buttock, unspecified stage",L89.329,L8932
I10,Essential (primary) hypertension,I10,
S52502D,"Unsp fx the low end left rad, subs for clos fx w routn heal",S52.502D,S52502
S52611D,"Disp fx of r ulna styloid pro, subs for clos fx w routn heal",S52.611D,S52611
I69351,Hemiplga following cerebral infrc aff right dominant side,I69.351,I6935
G3109,Other frontotemporal dementia,G31.09,G310
W19XXXD,"Unspecified fall, subsequent encounter",W19.XXXD,W19
S41111A,"Laceration w/o foreign body of right upper arm, init encntr",S41.111A,S41111
S42301D,"Unsp fx shaft of humer, right arm, subs for fx w routn heal",S42.301D,S42301
M87052,Idiopathic aseptic necrosis of left femur,M87.052,M8705
L930,Discoid lupus erythematosus,L93.0,L93
R634,Abnormal weight loss,R63.4,R63
R410,"Disorientation, unspecified",R41.0,R41
J449,"Chronic obstructive pulmonary disease, unspecified",J44.9,J44
K5792,"Dvtrcli of intest, part unsp, w/o perf or abscess w/o bleed",K57.92,K579
E119,Type 2 diabetes mellitus without complications,E11.9,E11
T8189XA,"Oth complications of procedures, NEC, init",T81.89XA,T8189
S41101A,"Unspecified open wound of right upper arm, initial encounter",S41.101A,S41101
S0081XD,"Abrasion of other part of head, subsequent encounter",S00.81XD,S0081
D899,"Disorder involving the immune mechanism, unspecified",D89.9,D89
F10230,"Alcohol dependence with withdrawal, uncomplicated",F10.230,F1023
G311,"Senile degeneration of brain, not elsewhere classified",G31.1,G31
M533,"Sacrococcygeal disorders, not elsewhere classified",M53.3,M53
L02414,Cutaneous abscess of left upper limb,L02.414,L0241
H348122,"Central retinal vein occlusion, left eye, stable",H34.8122,H34812
S51802D,"Unspecified open wound of left forearm, subsequent encounter",S51.802D,S51802
Z634,Disappearance and death of family member,Z63.4,Z63
E672,Megavitamin-B6 syndrome,E67.2,E67
M4856XS,"Collapsed vertebra, NEC, lumbar region, sequela of fracture",M48.56XS,M4856
Z9621,Cochlear implant status,Z96.21,Z962
E611,Iron deficiency,E61.1,E61
S51001D,"Unspecified open wound of right elbow, subsequent encounter",S51.001D,S51001
S329XXA,"Fracture of unsp parts of lumbosacral spine and pelvis, init",S32.9XXA,S329
N08,Glomerular disorders in diseases classified elsewhere,N08,
R351,Nocturia,R35.1,R35
N289,"Disorder of kidney and ureter, unspecified",N28.9,N28
K649,Unspecified hemorrhoids,K64.9,K64
K5641,Fecal impaction,K56.41,K564
S5292XA,"Unsp fracture of left forearm, init for clos fx",S52.92XA,S5292
K3184,Gastroparesis,K31.84,K318
Z79891,Long term (current) use of opiate analgesic,Z79.891,Z7989
K449,Diaphragmatic hernia without obstruction or gangrene,K44.9,K44
R110,Nausea,R11.0,R11
I2510,Athscl heart disease of native coronary artery w/o ang pctrs,I25.10,I251
M1711,"Unilateral primary osteoarthritis, right knee",M17.11,M171
K921,Melena,K92.1,K92
J9811,Atelectasis,J98.11,J981
K30,Functional dyspepsia,K30,
R0600,"Dyspnea, unspecified",R06.00,R060
M79605,Pain in left leg,M79.605,M7960
B888,Other specified infestations,B88.8,B88
H1012,"Acute atopic conjunctivitis, left eye",H10.12,H101
K900,Celiac disease,K90.0,K90
R1310,"Dysphagia, unspecified",R13.10,R131
S51002D,"Unspecified open wound of left elbow, subsequent encounter",S51.002D,S51002
S62102D,"Fx unsp carpal bone, left wrist, subs for fx w routn heal",S62.102D,S62102
M818,Other osteoporosis without current pathological fracture,M81.8,M81
S41002D,"Unspecified open wound of left shoulder, subs encntr",S41.002D,S41002
R918,Other nonspecific abnormal finding of lung field,R91.8,R91
Z859,"Personal history of malignant neoplasm, unspecified",Z85.9,Z85
J441,Chronic obstructive pulmonary disease w (acute) exacerbation,J44.1,J44
S0190XD,"Unsp open wound of unspecified part of head, subs encntr",S01.90XD,S0190
L210,Seborrhea capitis,L21.0,L21
B351,Tinea unguium,B35.1,B35
D1771,Benign lipomatous neoplasm of kidney,D17.71,D177
S2241XD,"Multiple fx of ribs, right side, subs for fx w routn heal",S22.41XD,S2241
S01301A,"Unspecified open wound of right ear, initial encounter",S01.301A,S01301
R2230,"Localized swelling, mass and lump, unspecified upper limb",R22.30,R223
M66341,"Spontaneous rupture of flexor tendons, right hand",M66.341,M6634
N1330,Unspecified hydronephrosis,N13.30,N133
M79661,Pain in right lower leg,M79.661,M7966
F429,"Obsessive-compulsive disorder, unspecified",F42.9,F42
S069X0S,"Unsp intracranial injury w/o loss of consciousness, sequela",S06.9X0S,S069X0
I259,"Chronic ischemic heart disease, unspecified",I25.9,I25
K267,Chronic duodenal ulcer without hemorrhage or perforation,K26.7,K26
E034,Atrophy of thyroid (acquired),E03.4,E03
M4854XD,"Collapsed vert, NEC, thor region, subs for fx w routn heal",M48.54XD,M4854
D682,Hereditary deficiency of other clotting factors,D68.2,D68
R238,Other skin changes,R23.8,R23
I214,Non-ST elevation (NSTEMI) myocardial infarction,I21.4,I21
L719,"Rosacea, unspecified",L71.9,L71
S4990XA,"Unsp injury of shoulder and upper arm, unsp arm, init encntr",S49.90XA,S4990
J329,"Chronic sinusitis, unspecified",J32.9,J32
M25571,Pain in right ankle and joints of right foot,M25.571,M2557
M130,"Polyarthritis, unspecified",M13.0,M13
G8222,"Paraplegia, incomplete",G82.22,G822
Z8673,"Prsnl hx of TIA (TIA), and cereb infrc w/o resid deficits",Z86.73,Z867
M810,Age-related osteoporosis w/o current pathological fracture,M81.0,M81
J0190,"Acute sinusitis, unspecified",J01.90,J019
M79602,Pain in left arm,M79.602,M7960
F17218,"Nicotine dependence, cigarettes, w oth disorders",F17.218,F1721
G4730,"Sleep apnea, unspecified",G47.30,G473
J029,"Acute pharyngitis, unspecified",J02.9,J02
R4689,Other symptoms and signs involving appearance and behavior,R46.89,R468
S0010XD,"Contusion of unsp eyelid and periocular area, subs encntr",S00.10XD,S0010
L97919,Non-prs chronic ulc unsp prt of r low leg w unsp severity,L97.919,L9791
M353,Polymyalgia rheumatica,M35.3,M35
B961,Klebsiella pneumoniae as the cause of diseases classd elswhr,B96.1,B96
J9600,"Acute respiratory failure, unsp w hypoxia or hypercapnia",J96.00,J960
B182,Chronic viral hepatitis C,B18.2,B18
I639,"Cerebral infarction, unspecified",I63.9,I63
Z86011,Personal history of benign neoplasm of the brain,Z86.011,Z8601
Z8679,Personal history of other diseases of the circulatory system,Z86.79,Z867
H3530,Unspecified macular degeneration,H35.30,H353
L89309,"Pressure ulcer of unspecified buttock, unspecified stage",L89.309,L8930
M4854XA,"Collapsed vertebra, NEC, thoracic region, init",M48.54XA,M4854
K769,"Liver disease, unspecified",K76.9,K76
K922,"Gastrointestinal hemorrhage, unspecified",K92.2,K92
K4090,"Unil inguinal hernia, w/o obst or gangr, not spcf as recur",K40.90,K409
I1310,"Hyp hrt & chr kdny dis w/o hrt fail, w stg 1-4/unsp chr kdny",I13.10,I131
S42301A,"Unsp fracture of shaft of humerus, right arm, init",S42.301A,S42301
S51001A,"Unspecified open wound of right elbow, initial encounter",S51.001A,S51001
E58,Dietary calcium deficiency,E58,
S5292XD,"Unsp fracture of left forearm, subs for clos fx w routn heal",S52.92XD,S5292
L608,Other nail disorders,L60.8,L60
N429,"Disorder of prostate, unspecified",N42.9,N42
K5090,"Crohn's disease, unspecified, without complications",K50.90,K509
E162,"Hypoglycemia, unspecified",E16.2,E16
F209,"Schizophrenia, unspecified",F20.9,F20
E1169,Type 2 diabetes mellitus with other specified complication,E11.69,E116
E663,Overweight,E66.3,E66
K5190,"Ulcerative colitis, unspecified, without complications",K51.90,K519
C5011,"Malignant neoplasm of central portion of breast, female",C50.11,C501
E11319,Type 2 diabetes w unsp diabetic rtnop w/o macular edema,E11.319,E1131
M5136,"Other intervertebral disc degeneration, lumbar region",M51.36,M513
L298,Other pruritus,L29.8,L29
S8391XD,"Sprain of unspecified site of right knee, subs encntr",S83.91XD,S8391
S63635A,"Sprain of interphalangeal joint of left ring finger, init",S63.635A,S63635
Z86718,Personal history of other venous thrombosis and embolism,Z86.718,Z8671
E539,"Vitamin B deficiency, unspecified",E53.9,E53
I69959,Hemiplga following unsp cerebvasc disease aff unsp side,I69.959,I6995
I69919,Unsp symp and signs w cogn fnctns fol unsp cerebvasc disease,I69.919,I6991
J189,"Pneumonia, unspecified organism",J18.9,J18
K9041,Non-celiac gluten sensitivity,K90.41,K904
I2721,Secondary pulmonary arterial hypertension,I27.21,I272
S92351A,"Disp fx of fifth metatarsal bone, right foot, init",S92.351A,S92351
S92301A,"Fracture of unsp metatarsal bone(s), right foot, init",S92.301A,S92301
L89220,"Pressure ulcer of left hip, unstageable",L89.220,L8922
B029,Zoster without complications,B02.9,B02
R627,Adult failure to thrive,R62.7,R62
H53132,"Sudden visual loss, left eye",H53.132,H5313
J9811,Atelectasis,J98.11,J981
L89629,"Pressure ulcer of left heel, unspecified stage",L89.629,L8962
K469,Unspecified abdominal hernia without obstruction or gangrene,K46.9,K46
L720,Epidermal cyst,L72.0,L72
Z7901,Long term (current) use of anticoagulants,Z79.01,Z790
G40909,"Epilepsy, unsp, not intractable, without status epilepticus",G40.909,G4090
Z978,Presence of other specified devices,Z97.8,Z97
S91105A,"Unsp opn wnd left lesser toe(s) w/o damage to nail, init",S91.105A,S91105
L089,"Local infection of the skin and subcutaneous tissue, unsp",L08.9,L08
E1121,Type 2 diabetes mellitus with diabetic nephropathy,E11.21,E112
R9720,Elevated prostate specific antigen [PSA],R97.20,R972
D1802,Hemangioma of intracranial structures,D18.02,D180
B999,Unspecified infectious disease,B99.9,B99
M25511,Pain in right shoulder,M25.511,M2551
H3323,"Serous retinal detachment, bilateral",H33.23,H332
I739,"Peripheral vascular disease, unspecified",I73.9,I73
S72002D,"Fx unsp part of nk of l femr, subs for clos fx w routn heal",S72.002D,S72002
Z8781,Personal history of (healed) traumatic fracture,Z87.81,Z878
R1314,"Dysphagia, pharyngoesophageal phase",R13.14,R131
J3802,"Paralysis of vocal cords and larynx, bilateral",J38.02,J380
D501,Sideropenic dysphagia,D50.1,D50
F918,Other conduct disorders,F91.8,F91
B961,Klebsiella pneumoniae as the cause of diseases classd elswhr,B96.1,B96
M7910,"Myalgia, unspecified site",M79.10,M791
E871,Hypo-osmolality and hyponatremia,E87.1,E87
M48062,"Spinal stenosis, lumbar region with neurogenic claudication",M48.062,M4806
J939,"Pneumothorax, unspecified",J93.9,J93
S72002S,"Fracture of unspecified part of neck of left femur, sequela",S72.002S,S72002
F410,Panic disorder without agoraphobia,F41.0,F41
I130,Hyp hrt & chr kdny dis w hrt fail and stg 1-4/unsp chr kdny,I13.0,I13
I509,"Heart failure, unspecified",I50.9,I50
J09X2,Flu due to ident novel influenza A virus w oth resp manifest,J09.X2,J09X
M13861,"Other specified arthritis, right knee",M13.861,M1386
K265,Chronic or unspecified duodenal ulcer with perforation,K26.5,K26
R561,Post traumatic seizures,R56.1,R56
E213,"Hyperparathyroidism, unspecified",E21.3,E21
L89312,"Pressure ulcer of right buttock, stage 2",L89.312,L8931
J9690,"Respiratory failure, unsp, unsp w hypoxia or hypercapnia",J96.90,J969
D181,"Lymphangioma, any site",D18.1,D18
G9341,Metabolic encephalopathy,G93.41,G934
A499,"Bacterial infection, unspecified",A49.9,A49
R141,Gas pain,R14.1,R14
K5900,"Constipation, unspecified",K59.00,K590
M25561,Pain in right knee,M25.561,M2556
M450,Ankylosing spondylitis of multiple sites in spine,M45.0,M45
F322,"Major depressv disord, single epsd, sev w/o psych features",F32.2,F32
H6011,Cellulitis of right external ear,H60.11,H601
F1010,"Alcohol abuse, uncomplicated",F10.10,F101
